id,name,email,loan_amount,paid_amount,balance_amount,status,tenure,months_completed,default_reason
81,Shweta Aggarwal 229,shweta.aggarwal.229@bank.com,1702600,1702600,0,Paid,48,48,N/A
82,Shweta Aggarwal 729,shweta.aggarwal.729@bank.com,1787900,1787900,0,Paid,48,48,N/A
83,Vivaan Gupta,vivaan.gupta@bank.com,1555500,622200.0,933300.0,Defaulted,12,6,Medical Emergency / High Bills
84,Ashley Moore 830,ashley.moore.830@bank.com,1296200,1296200,0,Paid,60,60,N/A
85,Ishaan Nair,ishaan.nair@bank.com,1443800,256675.56,1187124.44,Defaulted,36,8,Medical Emergency / High Bills
86,Amit Joshi 357,amit.joshi.357@bank.com,690300,690300,0,Paid,24,24,N/A
87,Aadhya Reddy 838,aadhya.reddy.838@bank.com,1071500,1071500,0,Paid,12,12,N/A
88,Jessica Wilson 993,jessica.wilson.993@bank.com,890700,74225.0,816475.0,Ongoing,12,1,N/A
89,Aadhya Reddy 393,aadhya.reddy.393@bank.com,75100,75100,0,Paid,48,48,N/A
90,David Brown,david.brown@bank.com,212800,212800,0,Paid,24,24,N/A
91,Aaryan Iyer,aaryan.iyer@bank.com,214900,214900,0,Paid,60,60,N/A
92,Sai Reddy 682,sai.reddy.682@bank.com,497000,497000,0,Paid,36,36,N/A
93,Diya Sharma,diya.sharma@bank.com,817000,817000,0,Paid,24,24,N/A
94,Saanvi Iyer 485,saanvi.iyer.485@bank.com,827600,827600,0,Paid,60,60,N/A
95,Reyansh Kumar 240,reyansh.kumar.240@bank.com,1361500,363066.67,998433.3300000001,Defaulted,24,8,Medical Emergency / High Bills
96,Shanaya Kumar 922,shanaya.kumar.922@bank.com,756000,756000,0,Paid,24,24,N/A
97,Myra Patel 342,myra.patel.342@bank.com,1145700,76380.0,1069320.0,Defaulted,60,5,High Debt Consolidation
98,Jennifer Taylor 513,jennifer.taylor.513@bank.com,1012600,1012600,0,Paid,36,36,N/A
99,Aditya Singh 561,aditya.singh.561@bank.com,782700,782700,0,Paid,48,48,N/A
100,Inaya Murthy,inaya.murthy@bank.com,1430600,1430600,0,Paid,24,24,N/A
101,Karan Oberoi 398,karan.oberoi.398@bank.com,1235200,1235200,0,Paid,36,36,N/A
102,Inaya Murthy 349,inaya.murthy.349@bank.com,44500,44500,0,Paid,60,60,N/A
103,Aadhya Reddy 940,aadhya.reddy.940@bank.com,1496200,872783.33,623416.67,Ongoing,24,14,N/A
104,Vivaan Gupta 824,vivaan.gupta.824@bank.com,639600,213200.0,426400.0,Ongoing,60,20,N/A
105,Rahul Mehra 909,rahul.mehra.909@bank.com,1322700,1322700,0,Paid,12,12,N/A
106,Karan Oberoi 424,karan.oberoi.424@bank.com,1416200,1416200,0,Paid,24,24,N/A
107,Vikram Khanna 709,vikram.khanna.709@bank.com,468400,156133.33,312266.67000000004,Ongoing,24,8,N/A
108,Inaya Murthy 230,inaya.murthy.230@bank.com,713700,713700,0,Paid,12,12,N/A
109,Sai Reddy 808,sai.reddy.808@bank.com,1273600,1273600,0,Paid,12,12,N/A
110,Zara Nair 244,zara.nair.244@bank.com,1812200,694676.67,1117523.33,Ongoing,60,23,N/A
111,Ishaan Nair 303,ishaan.nair.303@bank.com,1574000,1574000,0,Paid,60,60,N/A
112,Karan Oberoi,karan.oberoi@bank.com,1544100,1544100,0,Paid,36,36,N/A
113,Aarav Sharma 854,aarav.sharma.854@bank.com,557000,37133.33,519866.67,Ongoing,60,4,N/A
114,Aditya Singh 649,aditya.singh.649@bank.com,1124200,1124200,0,Paid,48,48,N/A
115,Sarah Miller,sarah.miller@bank.com,1353900,1353900,0,Paid,12,12,N/A
116,Diya Sharma 179,diya.sharma.179@bank.com,319300,239475.0,79825.0,Ongoing,12,9,N/A
117,Anvi Singh,anvi.singh@bank.com,1046900,1046900,0,Paid,60,60,N/A
118,Vivaan Gupta 343,vivaan.gupta.343@bank.com,1355100,1355100,0,Paid,12,12,N/A
119,James Smith,james.smith@bank.com,985000,985000,0,Paid,48,48,N/A
120,Vihaan Patel 602,vihaan.patel.602@bank.com,1606200,1606200,0,Paid,36,36,N/A
121,Ishaan Nair,ishaan.nair@bank.com,199100,141029.17,58070.82999999999,Ongoing,24,17,N/A
122,Vihaan Patel 602,vihaan.patel.602@bank.com,1937600,1937600,0,Paid,24,24,N/A
123,Rohan Sethi,rohan.sethi@bank.com,1790400,1790400,0,Paid,60,60,N/A
124,Aadhya Reddy 487,aadhya.reddy.487@bank.com,1030700,858916.67,171783.32999999996,Ongoing,12,10,N/A
125,Krishna Murthy 662,krishna.murthy.662@bank.com,1092400,1092400,0,Paid,24,24,N/A
126,Emily Davis,emily.davis@bank.com,1818200,181820.0,1636380.0,Defaulted,48,6,Interest Rate Overrun
127,Zara Nair,zara.nair@bank.com,1079800,1079800,0,Paid,48,48,N/A
128,Diya Sharma 298,diya.sharma.298@bank.com,1033400,1033400,0,Paid,12,12,N/A
129,Jennifer Taylor 152,jennifer.taylor.152@bank.com,1235100,1235100,0,Paid,48,48,N/A
130,Aarav Sharma,aarav.sharma@bank.com,972100,810083.33,162016.67000000004,Ongoing,12,10,N/A
131,Robert Williams,robert.williams@bank.com,501600,501600,0,Paid,36,36,N/A
132,Deepak Malhotra,deepak.malhotra@bank.com,1883200,1883200,0,Paid,36,36,N/A
133,Rahul Mehra 336,rahul.mehra.336@bank.com,559200,559200,0,Paid,24,24,N/A
134,Sai Reddy 861,sai.reddy.861@bank.com,1626400,1626400,0,Paid,48,48,N/A
135,Aadhya Reddy,aadhya.reddy@bank.com,1523400,1523400,0,Paid,24,24,N/A
136,Vivaan Gupta 120,vivaan.gupta.120@bank.com,591700,591700,0,Paid,24,24,N/A
137,Anvi Singh 558,anvi.singh.558@bank.com,1315800,394740.0,921060.0,Defaulted,24,9,Personal/Family Crisis
138,Aditya Singh 620,aditya.singh.620@bank.com,1751500,1313625.0,437875.0,Ongoing,12,9,N/A
139,Aaryan Iyer 869,aaryan.iyer.869@bank.com,1944400,1944400,0,Paid,60,60,N/A
140,Aditya Singh,aditya.singh@bank.com,1863600,1863600,0,Paid,24,24,N/A
141,Saanvi Iyer 464,saanvi.iyer.464@bank.com,630800,630800,0,Paid,24,24,N/A
142,Saanvi Iyer,saanvi.iyer@bank.com,742500,742500,0,Paid,36,36,N/A
143,Aditya Singh 247,aditya.singh.247@bank.com,500900,125225.0,375675.0,Ongoing,48,12,N/A
144,Diya Sharma 473,diya.sharma.473@bank.com,1084200,1084200,0,Paid,24,24,N/A
145,Richard Taylor 307,richard.taylor.307@bank.com,1460500,1460500,0,Paid,60,60,N/A
146,Aaryan Iyer 701,aaryan.iyer.701@bank.com,896900,896900,0,Paid,60,60,N/A
147,Jennifer Taylor,jennifer.taylor@bank.com,1856000,1856000,0,Paid,60,60,N/A
148,Richard Taylor,richard.taylor@bank.com,388700,388700,0,Paid,48,48,N/A
149,Priya Das,priya.das@bank.com,795100,795100,0,Paid,48,48,N/A
150,Jennifer Taylor,jennifer.taylor@bank.com,1344700,1344700,0,Paid,12,12,N/A
151,Arjun Verma,arjun.verma@bank.com,1331600,1331600,0,Paid,36,36,N/A
152,Sai Reddy 750,sai.reddy.750@bank.com,1340200,1340200,0,Paid,36,36,N/A
153,Rahul Mehra,rahul.mehra@bank.com,170700,170700,0,Paid,24,24,N/A
154,Rohan Sethi 722,rohan.sethi.722@bank.com,773700,773700,0,Paid,24,24,N/A
155,Myra Patel 441,myra.patel.441@bank.com,389800,389800,0,Paid,24,24,N/A
156,Shanaya Kumar 588,shanaya.kumar.588@bank.com,1327400,442466.67,884933.3300000001,Ongoing,48,16,N/A
157,Aarav Sharma 735,aarav.sharma.735@bank.com,1972000,131466.67,1840533.33,Defaulted,12,1,Medical Emergency / High Bills
158,Ashley Moore 697,ashley.moore.697@bank.com,746900,663911.11,82988.89000000001,Ongoing,36,32,N/A
159,Sonal Kapoor 388,sonal.kapoor.388@bank.com,1404600,187280.0,1217320.0,Defaulted,24,4,Medical Emergency / High Bills
160,Shanaya Kumar 746,shanaya.kumar.746@bank.com,172000,48733.33,123266.67,Defaulted,48,17,Personal/Family Crisis
161,Aarav Sharma,aarav.sharma@bank.com,1071500,1071500,0,Paid,24,24,N/A
162,Emily Davis 286,emily.davis.286@bank.com,1925500,1925500,0,Paid,24,24,N/A
163,Sarah Miller 289,sarah.miller.289@bank.com,1927900,1927900,0,Paid,36,36,N/A
164,Jessica Wilson 596,jessica.wilson.596@bank.com,1442100,1442100,0,Paid,36,36,N/A
165,Ishaan Nair 258,ishaan.nair.258@bank.com,1571300,1571300,0,Paid,12,12,N/A
166,Jessica Wilson 579,jessica.wilson.579@bank.com,139300,139300,0,Paid,36,36,N/A
167,Sai Reddy,sai.reddy@bank.com,1661000,1661000,0,Paid,24,24,N/A
168,Michael Johnson 250,michael.johnson.250@bank.com,432300,163313.33,268986.67000000004,Defaulted,36,17,Personal/Family Crisis
169,Emily Davis,emily.davis@bank.com,384300,384300,0,Paid,24,24,N/A
170,Saanvi Iyer,saanvi.iyer@bank.com,1983500,595050.0,1388450.0,Ongoing,60,18,N/A
171,Priya Das,priya.das@bank.com,1931200,1931200,0,Paid,24,24,N/A
172,Zara Nair 584,zara.nair.584@bank.com,1947900,77916.0,1869984.0,Defaulted,60,3,High Debt Consolidation
173,Karan Oberoi,karan.oberoi@bank.com,626700,626700,0,Paid,48,48,N/A
174,James Smith 538,james.smith.538@bank.com,1574900,1574900,0,Paid,48,48,N/A
175,Karan Oberoi,karan.oberoi@bank.com,757700,189425.0,568275.0,Ongoing,60,15,N/A
176,Ashley Moore 286,ashley.moore.286@bank.com,688800,688800,0,Paid,36,36,N/A
177,Priya Das 731,priya.das.731@bank.com,1457900,194386.67,1263513.33,Defaulted,12,2,Personal/Family Crisis
178,Richard Taylor,richard.taylor@bank.com,69400,32772.22,36627.78,Ongoing,36,17,N/A
179,Robert Williams 836,robert.williams.836@bank.com,1576000,1576000,0,Paid,24,24,N/A
180,Sai Reddy,sai.reddy@bank.com,1178600,58930.0,1119670.0,Defaulted,48,3,Business Multi-sector Failure
181,Aadhya Reddy 457,aadhya.reddy.457@bank.com,1929700,1929700,0,Paid,12,12,N/A
182,Vihaan Patel 700,vihaan.patel.700@bank.com,710200,710200,0,Paid,48,48,N/A
183,Reyansh Kumar 412,reyansh.kumar.412@bank.com,1028300,1028300,0,Paid,60,60,N/A
184,Priya Das,priya.das@bank.com,1751300,1751300,0,Paid,24,24,N/A
185,Richard Taylor 287,richard.taylor.287@bank.com,1413200,588833.33,824366.67,Ongoing,24,10,N/A
186,Vihaan Patel 854,vihaan.patel.854@bank.com,1872500,1872500,0,Paid,24,24,N/A
187,Aarav Sharma 476,aarav.sharma.476@bank.com,1043900,826420.83,217479.17000000004,Ongoing,48,38,N/A
188,Arjun Verma 847,arjun.verma.847@bank.com,1975700,26342.67,1949357.33,Defaulted,60,1,Interest Rate Overrun
189,Inaya Murthy 903,inaya.murthy.903@bank.com,396200,396200,0,Paid,24,24,N/A
190,Shanaya Kumar 761,shanaya.kumar.761@bank.com,1468300,411124.0,1057176.0,Defaulted,60,21,Personal/Family Crisis
191,Saanvi Iyer 463,saanvi.iyer.463@bank.com,1328000,1328000,0,Paid,60,60,N/A
192,Nisha Bhatia 352,nisha.bhatia.352@bank.com,1392700,1392700,0,Paid,60,60,N/A
193,Sarah Miller,sarah.miller@bank.com,912600,344760.0,567840.0,Defaulted,36,17,Business Multi-sector Failure
194,Diya Sharma 348,diya.sharma.348@bank.com,1473100,1473100,0,Paid,48,48,N/A
195,Michael Johnson,michael.johnson@bank.com,490700,490700,0,Paid,24,24,N/A
196,Saanvi Iyer,saanvi.iyer@bank.com,1510700,382710.67,1127989.33,Defaulted,60,19,Business Multi-sector Failure
197,Rahul Mehra,rahul.mehra@bank.com,1697300,1697300,0,Paid,60,60,N/A
198,Rahul Mehra 397,rahul.mehra.397@bank.com,904800,829400.0,75400.0,Ongoing,24,22,N/A
199,Shanaya Kumar 388,shanaya.kumar.388@bank.com,858300,858300,0,Paid,48,48,N/A
200,Karan Oberoi,karan.oberoi@bank.com,638600,638600,0,Paid,12,12,N/A
201,Rahul Mehra 237,rahul.mehra.237@bank.com,637900,53158.33,584741.67,Defaulted,48,5,Business Multi-sector Failure
202,Jessica Wilson 694,jessica.wilson.694@bank.com,1179800,1179800,0,Paid,12,12,N/A
203,Diya Sharma,diya.sharma@bank.com,90600,90600,0,Paid,36,36,N/A
204,Vivaan Gupta 548,vivaan.gupta.548@bank.com,1589400,1589400,0,Paid,24,24,N/A
205,Ananya Iyer 853,ananya.iyer.853@bank.com,879400,879400,0,Paid,12,12,N/A
206,Pari Gupta,pari.gupta@bank.com,1762000,1762000,0,Paid,36,36,N/A
207,Inaya Murthy,inaya.murthy@bank.com,1209600,161280.0,1048320.0,Defaulted,24,4,Business Multi-sector Failure
208,Saanvi Iyer,saanvi.iyer@bank.com,215000,71666.67,143333.33000000002,Defaulted,12,5,Interest Rate Overrun
209,Vikram Khanna,vikram.khanna@bank.com,675800,675800,0,Paid,48,48,N/A
210,Deepak Malhotra,deepak.malhotra@bank.com,378000,189000.0,189000.0,Ongoing,12,6,N/A
211,Inaya Murthy,inaya.murthy@bank.com,1540200,1540200,0,Paid,48,48,N/A
212,Karan Oberoi 754,karan.oberoi.754@bank.com,986100,986100,0,Paid,60,60,N/A
213,Diya Sharma,diya.sharma@bank.com,370700,23168.75,347531.25,Ongoing,48,3,N/A
214,Karan Oberoi,karan.oberoi@bank.com,822700,822700,0,Paid,48,48,N/A
215,Jessica Wilson 969,jessica.wilson.969@bank.com,456100,456100,0,Paid,12,12,N/A
216,Inaya Murthy,inaya.murthy@bank.com,966900,523737.5,443162.5,Ongoing,24,13,N/A
217,Ishaan Nair,ishaan.nair@bank.com,178100,178100,0,Paid,48,48,N/A
218,Michael Johnson,michael.johnson@bank.com,906500,906500,0,Paid,12,12,N/A
219,Aditya Singh,aditya.singh@bank.com,1568500,1568500,0,Paid,60,60,N/A
220,Saanvi Iyer 597,saanvi.iyer.597@bank.com,608700,608700,0,Paid,36,36,N/A
221,Rohan Sethi,rohan.sethi@bank.com,858900,858900,0,Paid,36,36,N/A
222,Pari Gupta,pari.gupta@bank.com,1799500,559844.44,1239655.56,Defaulted,36,14,Medical Emergency / High Bills
223,Zara Nair 394,zara.nair.394@bank.com,1774400,1774400,0,Paid,36,36,N/A
224,Karan Oberoi 326,karan.oberoi.326@bank.com,617700,617700,0,Paid,60,60,N/A
225,Aditya Singh 665,aditya.singh.665@bank.com,1665100,659102.08,1005997.92,Ongoing,48,19,N/A
226,Shweta Aggarwal,shweta.aggarwal@bank.com,1326800,353813.33,972986.6699999999,Defaulted,24,8,Unemployment / Job Loss
227,Vihaan Patel,vihaan.patel@bank.com,1246600,1246600,0,Paid,48,48,N/A
228,Sai Reddy 915,sai.reddy.915@bank.com,689400,57450.0,631950.0,Ongoing,12,1,N/A
229,Krishna Murthy,krishna.murthy@bank.com,1047500,1047500,0,Paid,48,48,N/A
230,Ashley Moore 706,ashley.moore.706@bank.com,1652100,1652100,0,Paid,24,24,N/A
231,Karan Oberoi,karan.oberoi@bank.com,1279300,159912.5,1119387.5,Ongoing,24,3,N/A
232,Sarah Miller 875,sarah.miller.875@bank.com,1600200,1600200,0,Paid,24,24,N/A
233,Vihaan Patel 813,vihaan.patel.813@bank.com,464100,464100,0,Paid,60,60,N/A
234,Rohan Sethi,rohan.sethi@bank.com,1319900,1319900,0,Paid,60,60,N/A
235,Sarah Miller,sarah.miller@bank.com,719700,719700,0,Paid,48,48,N/A
236,Vikram Khanna 673,vikram.khanna.673@bank.com,1073200,536600.0,536600.0,Ongoing,12,6,N/A
237,Ashley Moore 511,ashley.moore.511@bank.com,863100,827137.5,35962.5,Ongoing,24,23,N/A
238,Sai Reddy,sai.reddy@bank.com,1082500,1082500,0,Paid,60,60,N/A
239,Nisha Bhatia 721,nisha.bhatia.721@bank.com,27400,27400,0,Paid,60,60,N/A
240,Nisha Bhatia 327,nisha.bhatia.327@bank.com,482800,128746.67,354053.33,Defaulted,48,16,Personal/Family Crisis
241,Vikram Khanna,vikram.khanna@bank.com,689200,275680.0,413520.0,Defaulted,12,6,Business Multi-sector Failure
242,Karan Oberoi 737,karan.oberoi.737@bank.com,801000,200250.0,600750.0,Ongoing,24,6,N/A
243,Diya Sharma 241,diya.sharma.241@bank.com,221100,221100,0,Paid,60,60,N/A
244,Rohan Sethi 654,rohan.sethi.654@bank.com,645400,645400,0,Paid,24,24,N/A
245,Zara Nair 235,zara.nair.235@bank.com,1854700,659448.89,1195251.1099999999,Defaulted,36,16,Unemployment / Job Loss
246,Krishna Murthy 101,krishna.murthy.101@bank.com,1880800,1880800,0,Paid,60,60,N/A
247,Inaya Murthy 454,inaya.murthy.454@bank.com,756900,756900,0,Paid,12,12,N/A
248,Amit Joshi 371,amit.joshi.371@bank.com,903800,40168.89,863631.11,Defaulted,36,2,Medical Emergency / High Bills
249,Saanvi Iyer,saanvi.iyer@bank.com,331400,331400,0,Paid,36,36,N/A
250,Karan Oberoi,karan.oberoi@bank.com,1047200,1047200,0,Paid,12,12,N/A
251,Diya Sharma 643,diya.sharma.643@bank.com,1372900,183053.33,1189846.67,Defaulted,24,4,Interest Rate Overrun
252,Priya Das,priya.das@bank.com,1253200,1253200,0,Paid,12,12,N/A
253,Anvi Singh,anvi.singh@bank.com,55400,55400,0,Paid,12,12,N/A
254,Vihaan Patel 825,vihaan.patel.825@bank.com,1464900,1464900,0,Paid,36,36,N/A
255,Krishna Murthy 786,krishna.murthy.786@bank.com,258400,258400,0,Paid,48,48,N/A
256,Myra Patel 216,myra.patel.216@bank.com,589200,589200,0,Paid,36,36,N/A
257,Shanaya Kumar,shanaya.kumar@bank.com,1367300,1367300,0,Paid,24,24,N/A
258,Robert Williams 507,robert.williams.507@bank.com,1995600,1995600,0,Paid,36,36,N/A
259,Rahul Mehra 936,rahul.mehra.936@bank.com,113600,7573.33,106026.67,Defaulted,48,4,High Debt Consolidation
260,Saanvi Iyer 525,saanvi.iyer.525@bank.com,1129300,1129300,0,Paid,48,48,N/A
261,Sonal Kapoor 793,sonal.kapoor.793@bank.com,92900,74836.11,18063.89,Ongoing,36,29,N/A
262,Sarah Miller,sarah.miller@bank.com,1212500,1212500,0,Paid,12,12,N/A
263,Vivaan Gupta,vivaan.gupta@bank.com,782100,782100,0,Paid,60,60,N/A
264,Sai Reddy,sai.reddy@bank.com,971700,971700,0,Paid,60,60,N/A
265,Shweta Aggarwal,shweta.aggarwal@bank.com,815300,815300,0,Paid,48,48,N/A
266,Michael Johnson,michael.johnson@bank.com,882800,846016.67,36783.32999999996,Ongoing,24,23,N/A
267,Priya Das 681,priya.das.681@bank.com,50900,50900,0,Paid,12,12,N/A
268,Ananya Iyer 960,ananya.iyer.960@bank.com,1451500,387066.67,1064433.33,Defaulted,60,20,Business Multi-sector Failure
269,Priya Das,priya.das@bank.com,35700,35700,0,Paid,60,60,N/A
270,Jessica Wilson,jessica.wilson@bank.com,669700,669700,0,Paid,48,48,N/A
271,Myra Patel 827,myra.patel.827@bank.com,1603000,1603000,0,Paid,60,60,N/A
272,Robert Williams 790,robert.williams.790@bank.com,238000,238000,0,Paid,60,60,N/A
273,Jennifer Taylor 578,jennifer.taylor.578@bank.com,1930400,1930400,0,Paid,36,36,N/A
274,Priya Das 685,priya.das.685@bank.com,972800,972800,0,Paid,48,48,N/A
275,Myra Patel 432,myra.patel.432@bank.com,1321500,264300.0,1057200.0,Defaulted,12,3,High Debt Consolidation
276,Zara Nair 529,zara.nair.529@bank.com,212800,212800,0,Paid,24,24,N/A
277,Aditya Singh 875,aditya.singh.875@bank.com,667400,667400,0,Paid,12,12,N/A
