name,age,credit_score,income,loan_amount,employment_type,existing_emi,tenure,loan_type,default_status
Priya Oberoi,35,636,248175,972093,Contract,0,60,Home Loan,1
Robert Nair,22,434,713310,193542,Self-employed,375,18,Personal Loan,0
Arjun Brown,49,670,698459,1860375,Salaried,5158,36,Personal Loan,0
Jessica Gupta,62,331,599030,294699,Government,8511,6,Business Loan,1
Linda Joshi,30,367,518786,417996,Contract,9482,18,Business Loan,1
Myra Gupta,27,417,255448,1096741,Contract,1830,24,Home Loan,1
Diya Murthy 41,48,620,463987,1574084,Business,10622,24,Personal Loan,1
Inaya Verma 48,29,361,486198,1465902,Contract,10858,24,Auto Loan,1
Inaya Davis 7,39,619,369030,696692,Contract,1903,24,Home Loan,1
Priya Singh,38,531,542112,2208923,Contract,14789,36,Education Loan,1
Aarav Nair,69,616,761031,3518535,Business,0,60,Home Loan,1
Deepak Brown,22,393,1851879,7002577,Self-employed,0,24,Auto Loan,1
Aadhya Jones 77,26,353,663143,627852,Contract,0,6,Auto Loan,1
Zara Patel,34,824,696992,520181,Government,0,48,Education Loan,0
Aditya Mehra,59,356,571107,135294,Business,14607,60,Auto Loan,1
Nisha Brown,29,689,188855,520559,Self-employed,5246,60,Auto Loan,0
Aditya Murthy,25,620,587770,1741941,Contract,12541,18,Personal Loan,0
Ishaan Garcia 59,65,670,619171,385758,Salaried,0,36,Business Loan,0
Vikram Brown,42,472,2618062,1483448,Salaried,16921,60,Auto Loan,0
Michael Miller,27,449,532098,760180,Self-employed,13483,48,Personal Loan,1
Nisha Patel 98,58,759,715637,2482860,Contract,23533,18,Auto Loan,1
Myra Smith,38,357,584886,1105038,Salaried,0,24,Personal Loan,1
Amit Smith 12,60,819,296200,605881,Contract,7817,6,Business Loan,1
Karan Reddy,53,454,1185521,5687024,Government,0,60,Auto Loan,1
Michael Nair,66,748,937676,4647809,Contract,4961,18,Auto Loan,1
Jessica Nair,61,642,959933,495687,Salaried,12369,18,Education Loan,0
Saanvi Johnson,43,617,346060,1676641,Government,0,48,Personal Loan,1
Robert Reddy 86,65,839,1385645,898693,Government,842,18,Home Loan,0
James Bhatia,29,458,257529,146892,Salaried,4633,48,Education Loan,1
Linda Jones,59,685,849254,798649,Self-employed,21828,60,Home Loan,0
Anvi Johnson 57,60,591,2222789,8472110,Government,0,12,Auto Loan,1
Linda Miller,64,751,329614,796368,Business,5525,24,Home Loan,0
Deepak Davis,62,792,425160,1868901,Contract,10081,36,Personal Loan,1
Rohan Patel 19,48,393,633991,3006882,Self-employed,18694,6,Business Loan,1
Rahul Sharma 48,35,328,441491,763641,Salaried,9565,60,Home Loan,1
Mary Bhatia,29,780,235531,554272,Salaried,149,12,Home Loan,1
Pari Murthy,39,543,622275,1023969,Salaried,0,48,Education Loan,0
Linda Bhatia,22,827,315722,934609,Self-employed,0,6,Education Loan,1
Ishaan Johnson,54,669,793457,416454,Contract,20799,36,Education Loan,1
Aditya Smith,44,559,343982,1302700,Business,3953,48,Personal Loan,1
Aadhya Malhotra,55,646,1513538,6212835,Self-employed,34543,48,Business Loan,1
Amit Williams 59,23,600,373266,435839,Self-employed,3926,18,Education Loan,0
Nisha Sethi,62,495,492260,774488,Salaried,5446,6,Auto Loan,1
Myra Rodriguez 44,32,808,972971,3426734,Business,16841,60,Personal Loan,1
Zara Miller,39,628,285352,197597,Business,2915,36,Business Loan,0
Myra Singh 46,60,745,684521,1039010,Salaried,0,48,Business Loan,0
Jessica Nair 19,59,748,1308360,480213,Salaried,0,48,Auto Loan,0
Aditya Nair,49,679,227637,452010,Salaried,4017,24,Auto Loan,1
Arjun Sharma 64,54,696,667156,3058912,Salaried,0,18,Business Loan,1
David Martinez 26,28,438,697968,2996771,Government,0,48,Business Loan,1
Patricia Reddy,66,366,954643,2711173,Business,27091,48,Home Loan,1
Arjun Oberoi 31,52,326,284312,549377,Contract,0,60,Education Loan,0
Amit Khanna,66,790,270418,736439,Government,664,18,Personal Loan,1
Anvi Malhotra 100,56,486,816812,3173602,Self-employed,24796,6,Personal Loan,1
Ishaan Reddy 29,43,831,713680,3208451,Salaried,0,48,Education Loan,0
Zara Das,62,472,694047,2110375,Contract,0,48,Education Loan,1
Mary Martinez,22,383,735178,307463,Contract,0,12,Education Loan,1
Nisha Rodriguez,39,609,397116,999991,Government,0,6,Personal Loan,1
Myra Oberoi,30,620,686493,2976035,Business,19697,24,Home Loan,1
Arjun Reddy,28,573,712007,1678955,Self-employed,0,18,Business Loan,1
Patricia Rodriguez,41,620,389021,432281,Self-employed,6674,24,Auto Loan,1
Diya Gupta,36,520,1829337,5488105,Salaried,0,24,Education Loan,1
Nisha Khanna,27,741,793572,668892,Business,20205,18,Personal Loan,0
Karan Singh,25,695,292207,765706,Contract,0,36,Education Loan,0
Diya Singh 44,56,674,885521,3386084,Self-employed,11847,6,Personal Loan,1
Robert Bhatia,30,827,332764,289820,Contract,0,24,Education Loan,0
Aadhya Gupta 69,52,606,957662,2374508,Salaried,0,48,Personal Loan,0
Robert Rodriguez 89,61,327,1196794,3668372,Business,31232,60,Education Loan,1
Saanvi Bhatia,61,689,364977,331882,Self-employed,0,48,Personal Loan,0
Inaya Malhotra,34,720,1064510,2777023,Contract,30970,48,Personal Loan,1
Priya Reddy 62,54,685,765028,1305147,Self-employed,13595,36,Auto Loan,0
Jessica Smith 34,60,795,977971,1098132,Self-employed,0,18,Home Loan,0
James Khanna 89,66,800,1863702,3208913,Business,58053,48,Auto Loan,0
Priya Sharma 51,43,449,515435,821692,Business,1357,24,Auto Loan,1
Mary Das,56,578,379936,326330,Contract,3030,6,Education Loan,1
Arjun Murthy,51,402,350211,1215134,Self-employed,0,36,Home Loan,1
Linda Bhatia,33,594,366045,637505,Salaried,1091,36,Home Loan,0
Barbara Singh 23,47,480,570198,2670139,Salaried,7545,24,Home Loan,1
Barbara Khanna 2,40,409,732846,3412558,Business,0,48,Education Loan,1
Deepak Davis,38,497,705043,2878201,Business,0,24,Auto Loan,1
Aadhya Garcia,64,497,980982,1022551,Government,16849,6,Business Loan,1
Deepak Bhatia,36,306,601872,873779,Self-employed,5356,18,Auto Loan,1
Rohan Smith,36,363,1428478,4864500,Government,0,24,Education Loan,1
James Khanna,61,602,509510,1000785,Self-employed,0,12,Business Loan,1
Zara Singh,56,782,3054423,10000000,Self-employed,69268,36,Personal Loan,1
Anvi Joshi 15,24,817,869262,1017342,Contract,0,18,Education Loan,0
David Iyer,53,756,357076,1457484,Government,0,24,Business Loan,1
Jessica Garcia,22,705,314099,446458,Salaried,6054,6,Business Loan,1
Aditya Martinez 61,23,593,797696,1725066,Self-employed,26013,48,Business Loan,0
Myra Davis 49,45,382,522260,1815953,Contract,0,60,Auto Loan,0
Diya Gupta,35,303,916576,3510175,Business,21970,24,Education Loan,1
Myra Singh,33,415,793288,281334,Government,24756,6,Home Loan,1
Aditya Patel,66,349,571661,785876,Salaried,4465,12,Personal Loan,1
Rahul Miller 74,41,628,359303,480438,Self-employed,6242,24,Auto Loan,1
Saanvi Rodriguez 23,61,737,240648,690198,Salaried,7553,48,Business Loan,1
Inaya Murthy,45,488,456841,1745679,Government,0,12,Auto Loan,1
Myra Martinez,47,726,998330,2870175,Self-employed,0,18,Home Loan,1
Myra Davis,55,495,679054,303792,Government,13647,60,Personal Loan,0
Jennifer Johnson,51,513,282817,1236892,Business,0,6,Home Loan,1
Arjun Brown 62,36,509,662587,1393972,Self-employed,17128,24,Business Loan,1
Rohan Singh,52,777,752525,506689,Government,8032,12,Auto Loan,1
Patricia Mehra 3,37,727,351401,568188,Self-employed,0,24,Education Loan,0
Michael Johnson,69,800,654898,3169208,Government,15996,18,Home Loan,1
Ishaan Martinez 83,24,836,618421,224087,Salaried,13774,60,Personal Loan,0
Rahul Joshi 2,34,817,300805,718576,Salaried,6685,36,Business Loan,1
Priya Das,22,842,740197,2713950,Contract,422,60,Business Loan,0
Arjun Martinez,30,546,836072,937465,Contract,0,18,Auto Loan,1
Diya Patel,65,531,1143758,1875623,Salaried,32719,60,Personal Loan,1
Priya Bhatia,21,475,1123861,670825,Government,12410,60,Personal Loan,0
Rahul Oberoi 89,57,786,261293,392267,Salaried,2441,36,Education Loan,0
Patricia Reddy,34,447,340205,1296460,Government,3393,36,Home Loan,1
Jessica Rodriguez,45,443,813434,3249173,Salaried,26418,6,Personal Loan,1
Aadhya Nair 77,46,634,812825,278151,Business,12207,12,Auto Loan,0
Ishaan Johnson,45,387,813440,3177624,Business,19335,6,Auto Loan,1
Michael Malhotra 41,44,409,6026270,3852582,Business,152935,6,Home Loan,1
Priya Das,27,326,841157,530072,Contract,0,36,Auto Loan,1
Inaya Sharma 93,56,548,1180371,3476676,Self-employed,6669,18,Auto Loan,1
Ishaan Murthy,40,795,1058539,4188426,Business,0,12,Business Loan,1
Arjun Malhotra,46,640,882783,3742774,Government,9697,18,Business Loan,1
Zara Malhotra,59,505,494270,1235302,Self-employed,15960,18,Business Loan,1
Aadhya Sharma,46,673,941643,703088,Contract,0,36,Home Loan,0
Jennifer Patel 27,49,598,375609,1573859,Salaried,9961,24,Business Loan,1
Rohan Johnson,48,686,518092,287557,Contract,6921,36,Business Loan,0
Anvi Williams 69,59,387,446315,323566,Self-employed,5281,48,Education Loan,1
James Reddy 56,27,310,627265,422344,Self-employed,10847,36,Education Loan,1
Myra Jones,65,812,2394763,2211744,Salaried,23583,6,Personal Loan,0
Anvi Khanna,34,833,194782,490469,Government,0,48,Business Loan,0
Robert Williams,42,411,901446,3110231,Self-employed,22250,36,Home Loan,1
Inaya Patel,46,488,226924,248403,Government,0,48,Education Loan,0
Inaya Sharma,34,510,449927,691112,Salaried,11990,36,Home Loan,1
Arjun Sethi,52,840,1147814,5551286,Business,23388,36,Personal Loan,0
Zara Nair 91,40,386,620678,2126522,Business,0,18,Personal Loan,1
Pari Sharma,29,692,312810,697749,Government,7230,48,Home Loan,1
Deepak Nair,49,354,388798,1693023,Salaried,2528,24,Education Loan,1
Jessica Bhatia,49,800,897850,900379,Contract,0,60,Home Loan,0
Priya Khanna,50,807,385300,1093745,Salaried,3440,36,Auto Loan,0
James Brown,34,735,680018,470299,Self-employed,0,6,Business Loan,0
Amit Patel 16,70,542,613750,741051,Contract,17615,36,Business Loan,1
Karan Miller,24,659,403947,1112852,Contract,4357,48,Auto Loan,1
Patricia Gupta 87,27,438,2161615,10000000,Government,71512,60,Home Loan,1
Deepak Williams,36,702,873576,2227096,Contract,18281,24,Business Loan,1
James Joshi,68,584,177178,626249,Business,2882,36,Personal Loan,1
Amit Brown 82,63,666,667885,2858888,Contract,0,24,Home Loan,1
Vikram Reddy,29,796,401486,1599463,Salaried,0,48,Business Loan,0
Myra Patel,48,507,995957,4959200,Self-employed,10021,60,Auto Loan,1
Amit Singh,62,469,371196,166510,Business,9344,24,Personal Loan,1
Nisha Joshi,35,831,557466,1931015,Salaried,0,18,Personal Loan,1
Deepak Bhatia,45,391,808545,2997813,Salaried,0,18,Auto Loan,1
James Davis,64,446,1003950,530462,Contract,0,48,Home Loan,0
Michael Brown,47,753,290634,1257811,Salaried,1356,6,Education Loan,1
Inaya Reddy 32,38,386,488599,679739,Contract,9895,60,Personal Loan,1
Vikram Oberoi,53,493,449114,1701984,Business,11733,60,Home Loan,1
Nisha Smith,54,312,403528,1992232,Business,0,60,Education Loan,1
Ishaan Jones,70,374,1722474,482480,Salaried,0,12,Personal Loan,0
Diya Gupta,66,813,761457,2956073,Government,2092,36,Education Loan,1
Vikram Joshi,34,459,280259,777627,Government,7130,48,Personal Loan,1
Patricia Mehra,26,744,1035833,783851,Contract,10679,48,Home Loan,0
David Sharma,43,835,2133541,5723585,Business,0,12,Auto Loan,1
Linda Sharma,48,578,1109565,3011914,Business,21327,6,Business Loan,1
Nisha Davis,44,461,239996,341888,Salaried,5392,6,Home Loan,1
Patricia Davis,23,783,446618,869604,Self-employed,0,60,Personal Loan,0
Jennifer Smith,41,554,1277156,2807229,Business,0,6,Education Loan,1
Linda Singh,54,347,390583,1866823,Salaried,11275,60,Auto Loan,1
Aarav Singh,57,611,779409,2922756,Self-employed,15372,24,Home Loan,1
Robert Mehra,47,324,950535,1253175,Business,21971,6,Auto Loan,1
Patricia Brown 14,34,842,342436,1684427,Government,683,12,Auto Loan,0
Linda Davis,65,681,576243,1383328,Salaried,9708,48,Business Loan,0
Inaya Johnson 31,39,567,150000,642657,Government,3676,18,Business Loan,1
Karan Malhotra 75,27,459,322987,228402,Government,4376,36,Auto Loan,1
Vikram Patel,28,392,513219,490921,Business,11921,6,Home Loan,1
Amit Williams,43,705,282470,752671,Business,0,12,Personal Loan,1
Priya Brown,27,773,1590321,1095978,Self-employed,0,6,Home Loan,0
Anvi Johnson,62,386,253194,758355,Business,632,6,Home Loan,1
Deepak Joshi 43,28,343,458618,2166028,Salaried,0,36,Business Loan,1
Aarav Sharma,32,662,645928,794903,Self-employed,0,24,Home Loan,0
Michael Khanna,56,790,1418008,698651,Business,0,24,Home Loan,0
Rahul Smith 70,22,691,252327,997498,Business,6572,18,Education Loan,1
Ishaan Sharma,35,330,1200079,5399960,Business,0,24,Education Loan,1
Rahul Nair,63,546,600873,888889,Salaried,18983,36,Business Loan,0
Patricia Nair,58,625,331404,1348751,Business,311,48,Auto Loan,1
Saanvi Oberoi 64,55,616,788006,821632,Salaried,0,12,Education Loan,1
Aarav Reddy 26,29,648,672956,2450435,Business,0,12,Education Loan,1
Arjun Davis,44,374,416595,830372,Government,4673,18,Home Loan,1
Inaya Garcia,52,624,622738,645264,Contract,19280,60,Auto Loan,0
Ishaan Sharma,65,601,473928,384484,Salaried,14987,24,Education Loan,1
Barbara Garcia 29,61,406,639288,3002161,Self-employed,0,6,Home Loan,1
Michael Rodriguez 91,63,643,888489,2082461,Business,0,48,Personal Loan,0
Jennifer Sharma,49,729,1546662,7503922,Government,19524,36,Business Loan,1
Patricia Iyer,64,530,284165,278695,Salaried,316,6,Auto Loan,1
Aadhya Nair 21,67,376,2147510,6068481,Salaried,0,36,Business Loan,1
Michael Nair,48,460,185117,84610,Business,0,12,Business Loan,0
Jennifer Das,39,604,545211,730709,Salaried,0,36,Business Loan,0
Inaya Joshi,63,791,849998,984670,Salaried,0,48,Auto Loan,0
Arjun Khanna 61,52,571,706865,450596,Contract,0,18,Business Loan,0
Rohan Patel,35,575,411013,1195383,Self-employed,9144,6,Auto Loan,1
James Iyer,24,696,527090,2176009,Government,12071,24,Education Loan,1
Amit Sharma 92,23,814,444275,1306992,Contract,10033,36,Home Loan,0
Ishaan Nair 25,29,343,419316,935996,Government,0,60,Home Loan,1
Barbara Brown 9,26,697,994267,2854091,Contract,0,18,Education Loan,1
Robert Williams,54,729,739854,547558,Self-employed,0,36,Education Loan,0
Barbara Verma,27,592,394058,1719622,Business,3469,48,Business Loan,1
Ishaan Sethi,60,711,1024545,395634,Business,1683,24,Auto Loan,0
Mary Garcia,38,803,718111,3101899,Salaried,5456,18,Business Loan,1
Jennifer Murthy,26,492,972589,2256639,Government,24622,60,Auto Loan,1
Ishaan Joshi,53,713,871331,741606,Contract,840,12,Home Loan,1
Myra Singh 91,33,580,363161,714733,Government,7691,6,Personal Loan,1
Myra Nair 61,58,658,426723,790459,Business,9798,18,Personal Loan,1
Saanvi Jones 29,62,530,935069,3228734,Business,15998,60,Personal Loan,1
Ishaan Nair 29,37,612,861320,3118972,Business,10808,18,Business Loan,1
Jessica Gupta 51,58,404,589752,138749,Business,11672,18,Auto Loan,1
Aadhya Sethi,38,567,640751,2146114,Business,0,36,Home Loan,1
Robert Garcia,63,627,1285423,4457368,Salaried,42738,18,Business Loan,1
Saanvi Williams 25,42,527,418761,1463287,Government,9378,36,Auto Loan,1
Linda Das,27,782,829234,675105,Business,15452,12,Auto Loan,1
Rahul Brown 54,42,680,528968,767365,Business,2076,6,Education Loan,1
Nisha Rodriguez,28,690,524075,1437655,Government,0,60,Home Loan,0
Inaya Iyer 59,30,623,1154601,5010380,Self-employed,18765,48,Home Loan,1
Myra Sethi,70,472,979943,2906646,Self-employed,24941,6,Home Loan,1
Diya Murthy 50,21,338,972967,2687487,Business,28929,60,Education Loan,1
Michael Brown,65,652,1307055,2219435,Salaried,0,36,Auto Loan,0
Vikram Khanna,54,836,604769,1101652,Self-employed,0,24,Auto Loan,1
Barbara Martinez 3,35,529,899119,3318118,Self-employed,0,6,Education Loan,1
David Smith 49,61,561,495756,1934439,Contract,0,6,Personal Loan,1
David Verma,45,426,725415,2050715,Government,4968,48,Personal Loan,1
Jessica Gupta,59,440,552337,1220865,Salaried,11372,18,Personal Loan,1
Zara Oberoi 67,33,666,632982,2263857,Business,0,36,Business Loan,1
Nisha Reddy,21,391,853494,3885978,Contract,4243,6,Education Loan,1
Linda Sethi,50,603,365516,536504,Salaried,0,12,Personal Loan,1
Jessica Reddy,28,397,2095771,8982433,Salaried,0,12,Home Loan,1
Zara Sethi 12,44,650,326566,351964,Government,4969,60,Business Loan,0
Inaya Smith 22,28,435,288222,1020771,Salaried,8112,6,Business Loan,1
Saanvi Johnson,60,688,1196446,4713983,Contract,0,48,Home Loan,1
Linda Murthy,25,567,960296,3211107,Salaried,21700,60,Education Loan,1
Jessica Davis,54,397,868455,1978053,Self-employed,19213,48,Business Loan,1
Linda Nair,62,460,870660,2286983,Government,25232,6,Business Loan,1
Rohan Singh,56,687,592823,1266109,Self-employed,0,24,Education Loan,0
Myra Reddy,52,318,348588,241462,Government,0,36,Personal Loan,0
Zara Smith,53,511,624984,2088734,Government,7569,6,Home Loan,1
James Nair,66,672,397799,1446550,Salaried,0,48,Home Loan,1
Mary Smith 38,56,834,1072037,2138364,Salaried,0,12,Business Loan,0
Jennifer Murthy,60,500,546760,601549,Government,0,60,Home Loan,0
Inaya Singh 87,58,426,363924,1421595,Government,7148,36,Home Loan,1
Jennifer Singh,48,794,492459,2283522,Self-employed,2850,60,Home Loan,0
Zara Rodriguez,45,728,765097,3750202,Self-employed,0,18,Auto Loan,1
Inaya Nair 96,53,606,425817,1808341,Contract,10104,36,Home Loan,1
Vikram Johnson,64,435,364640,1790532,Self-employed,8439,18,Personal Loan,1
Saanvi Iyer 91,47,846,691219,1086910,Government,12044,6,Business Loan,0
Karan Sethi 21,39,556,691750,624550,Salaried,6805,60,Education Loan,1
Arjun Nair 95,56,529,440574,1658135,Contract,0,36,Auto Loan,1
Diya Sharma,64,620,450168,2177012,Salaried,0,18,Home Loan,1
Patricia Patel 82,66,676,686409,2625182,Contract,4495,48,Home Loan,1
Jessica Joshi,32,826,250483,193597,Salaried,4647,12,Home Loan,1
Aadhya Patel 20,23,457,256663,1195386,Contract,0,48,Education Loan,1
Robert Iyer,25,625,388067,1056278,Self-employed,10170,12,Business Loan,1
Anvi Mehra 85,42,639,525408,1014998,Self-employed,10828,24,Education Loan,0
Aarav Verma,49,546,719667,3268427,Contract,5849,6,Auto Loan,1
Arjun Sharma,67,589,1447304,461092,Contract,18089,60,Education Loan,0
Linda Smith,53,384,999085,4747069,Self-employed,25753,36,Personal Loan,1
Michael Jones,64,734,542550,2284782,Self-employed,12709,48,Business Loan,0
Jennifer Johnson,50,639,590420,225454,Salaried,0,60,Auto Loan,0
Rahul Martinez,45,761,327250,1055395,Government,0,24,Personal Loan,1
Zara Joshi 75,23,374,590598,1132153,Contract,0,60,Auto Loan,1
Barbara Patel,63,331,502225,1243077,Contract,0,48,Business Loan,1
Vikram Smith,64,682,724785,3475691,Salaried,13410,6,Personal Loan,1
Priya Das 40,34,652,363546,442194,Contract,0,12,Home Loan,1
Arjun Nair,57,355,815541,3495947,Contract,14942,18,Personal Loan,1
Saanvi Bhatia 46,29,540,1498002,1018965,Contract,0,12,Auto Loan,1
Jessica Khanna,30,673,559469,2280932,Government,0,18,Home Loan,1
Michael Murthy,44,437,759964,2630983,Business,11724,18,Auto Loan,1
Michael Nair,38,443,903549,4046296,Self-employed,0,48,Personal Loan,1
Patricia Gupta,58,714,469426,1827081,Self-employed,8631,36,Education Loan,1
Anvi Sharma,70,597,683140,575634,Contract,9035,36,Personal Loan,0
Robert Nair,69,826,601724,525773,Self-employed,0,36,Home Loan,0
Anvi Singh,52,537,633240,317717,Business,0,48,Home Loan,0
Diya Bhatia 6,23,631,375567,261199,Contract,3423,48,Auto Loan,0
Diya Smith,58,379,606042,1624181,Government,4502,24,Auto Loan,1
Robert Bhatia 1,53,442,805162,1861143,Self-employed,0,48,Auto Loan,1
Anvi Nair 16,63,535,1426431,3124091,Business,22895,24,Business Loan,1
Mary Murthy,23,430,1061891,3135482,Self-employed,0,36,Personal Loan,1
Ishaan Sethi 67,46,319,2173630,9600582,Business,15693,36,Business Loan,1
Mary Murthy,58,486,376845,1202669,Contract,0,48,Auto Loan,1
Amit Mehra,29,411,1007912,281712,Contract,16945,24,Home Loan,1
